date,kentucky_flu,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu shots,break a fever,flu versus cold,how long is the flu contagious,medicine for the flu,flu like symptoms,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,reduce a fever,how long contagious,kentucky flu,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,human temperature,medicine for flu,flu treatments,cold vs flu,influenza type a,fight the flu,flu a symptoms,influenza symptoms,the flu virus,reduce fever,type a influenza,influenza incubation period,thermoscan,how to treat the flu,flu virus,how long does the flu last,fever flu,how long does flu last,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,tamiflu,treatment for flu,taking temperature,flu contagious,flu length,bronchitis,get over the flu,type a flu,symptoms of bronchitis,what is the flu,oscillococcinum,flu medicine,flu remedies,flu complications,signs of the flu,how to get rid of the flu,body temperature,target
2010-40,0.142932,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,60.0,8.0,4.0,0.0,2.0,8.0,10.0,0.0,0.0,0.0,7.0,36.0,0.0,0.0,36.0,0.0,35.0,14.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,65.0,0.0,52.0,0.0,0.0,0.0,38.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,13.0,20.0,13.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,28.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.223975
2010-41,0.223975,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,60.0,8.0,4.0,0.0,2.0,8.0,10.0,0.0,0.0,0.0,7.0,36.0,0.0,0.0,36.0,0.0,35.0,14.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,65.0,0.0,52.0,0.0,0.0,0.0,38.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,13.0,20.0,13.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,28.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.15615199999999999
2010-42,0.15615199999999999,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,60.0,8.0,4.0,0.0,2.0,8.0,10.0,0.0,0.0,0.0,7.0,36.0,0.0,0.0,36.0,0.0,35.0,14.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,65.0,0.0,52.0,0.0,0.0,0.0,38.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,13.0,20.0,13.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,28.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.150108
2010-43,0.150108,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,60.0,8.0,4.0,0.0,2.0,8.0,10.0,0.0,0.0,0.0,7.0,36.0,0.0,0.0,36.0,0.0,35.0,14.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,65.0,0.0,52.0,0.0,0.0,0.0,38.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,13.0,20.0,13.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,28.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.28967800000000005
2010-44,0.28967800000000005,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,60.0,8.0,4.0,0.0,2.0,8.0,10.0,0.0,0.0,0.0,7.0,36.0,0.0,0.0,36.0,0.0,35.0,14.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,65.0,0.0,52.0,0.0,0.0,0.0,38.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,13.0,20.0,13.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,28.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.22299499999999997
2010-45,0.22299499999999997,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,53.0,0.0,4.0,55.0,8.0,0.0,0.0,0.0,6.0,7.0,0.0,21.0,0.0,21.0,36.0,0.0,0.0,37.0,0.0,14.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,32.0,16.0,16.0,13.0,20.0,27.0,14.0,30.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,16.0,16.0,0.0,4.0,14.0,0.0,0.0,13.0,0.0,54.0,0.0,15.0,15.0,15.0,0.0,0.0,47.0,0.0,0.0,0.0,33.0,0.46321
2010-46,0.46321,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,53.0,0.0,4.0,55.0,8.0,0.0,0.0,0.0,6.0,7.0,0.0,21.0,0.0,21.0,36.0,0.0,0.0,37.0,0.0,14.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,32.0,16.0,16.0,13.0,20.0,27.0,14.0,30.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,16.0,16.0,0.0,4.0,14.0,0.0,0.0,13.0,0.0,54.0,0.0,15.0,15.0,15.0,0.0,0.0,47.0,0.0,0.0,0.0,33.0,0.539615
2010-47,0.539615,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,53.0,0.0,4.0,55.0,8.0,0.0,0.0,0.0,6.0,7.0,0.0,21.0,0.0,21.0,36.0,0.0,0.0,37.0,0.0,14.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,32.0,16.0,16.0,13.0,20.0,27.0,14.0,30.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,16.0,16.0,0.0,4.0,14.0,0.0,0.0,13.0,0.0,54.0,0.0,15.0,15.0,15.0,0.0,0.0,47.0,0.0,0.0,0.0,33.0,0.673462
2010-48,0.673462,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,53.0,0.0,4.0,55.0,8.0,0.0,0.0,0.0,6.0,7.0,0.0,21.0,0.0,21.0,36.0,0.0,0.0,37.0,0.0,14.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,32.0,16.0,16.0,13.0,20.0,27.0,14.0,30.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,16.0,16.0,0.0,4.0,14.0,0.0,0.0,13.0,0.0,54.0,0.0,15.0,15.0,15.0,0.0,0.0,47.0,0.0,0.0,0.0,33.0,0.598723
2010-49,0.598723,6.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,10.0,2.0,0.0,1.0,7.0,4.0,0.0,22.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,27.0,9.0,13.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,10.0,46.0,10.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,40.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.6296510000000001
