date,nevada_flu,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,cold versus flu,incubation period for the flu,flu vs cold,flu and fever,flu headache,flu vs. cold,human temperature,high fever,medicine for flu,flu treatments,cold vs flu,influenza type a,fight the flu,influenza symptoms,the flu virus,how to treat flu,type a influenza,influenza incubation period,thermoscan,normal body temperature,flu virus,how long does the flu last,fever flu,stomach flu,swine flu,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,how long is flu contagious,symptoms of the flu,taking temperature,exposed to flu,keto flu,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,flu in las vegas,oscillococcinum,cold or flu,flu medicine,flu shot side effects,diarrhea,flu complications,signs of the flu,how to get rid of the flu,body temperature,target
2010-40,1.66683,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,47.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,74.0,1.6363299999999998
2010-41,1.6363299999999998,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,47.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,74.0,1.5086
2010-42,1.5086,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,47.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,74.0,2.14451
2010-43,2.14451,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,47.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,74.0,1.76761
2010-44,1.76761,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,47.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,74.0,0.805239
2010-45,0.805239,18.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,75.0,0.0,0.0,0.0,0.0,0.0,47.0,12.0,0.0,0.0,0.0,13.0,23.0,0.0,48.0,0.0,24.0,38.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,80.0,81.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,47.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,56.0,0.0,0.0,11.0,0.0,51.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,2.6327599999999998
2010-46,2.6327599999999998,18.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,75.0,0.0,0.0,0.0,0.0,0.0,47.0,12.0,0.0,0.0,0.0,13.0,23.0,0.0,48.0,0.0,24.0,38.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,80.0,81.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,47.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,56.0,0.0,0.0,11.0,0.0,51.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,3.1019799999999997
2010-47,3.1019799999999997,18.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,75.0,0.0,0.0,0.0,0.0,0.0,47.0,12.0,0.0,0.0,0.0,13.0,23.0,0.0,48.0,0.0,24.0,38.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,80.0,81.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,47.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,56.0,0.0,0.0,11.0,0.0,51.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,2.89043
2010-48,2.89043,18.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,75.0,0.0,0.0,0.0,0.0,0.0,47.0,12.0,0.0,0.0,0.0,13.0,23.0,0.0,48.0,0.0,24.0,38.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,80.0,81.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,47.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,56.0,0.0,0.0,11.0,0.0,51.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,3.2827900000000003
2010-49,3.2827900000000003,12.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,46.0,0.0,0.0,0.0,38.0,0.0,4.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,17.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,43.0,7.0,11.0,0.0,0.0,0.0,0.0,33.0,0.0,65.0,0.0,0.0,0.0,32.0,4.28725
