date,new_york_flu,flu,treating flu,medicine for the flu,high fever,is the flu contagious,get over the flu,medicine for flu,how to get rid of the flu,fever cough,nyc flu,pneumonia,fever flu,normal body,signs of flu,symptoms of the flu,cold or flu,stomach flu,flu 2018,flu game,cold versus flu,incubation period for flu,how long is flu contagious,treating the flu,flu treatments,flu complications,influenza symptoms,contagious flu,how to treat flu,flu fever,type a influenza,cure the flu,flu vs cold,flu contagious period,how long is the flu,signs of the flu,the flu virus,flu cough,flu symptoms,treat flu,ear thermometer,taking temperature,get rid of the flu,over the counter flu,reduce a fever,flu and cold,cold and flu,flu vs. cold,cure flu,human temperature,braun thermoscan,flu length,remedies for flu,how long does flu last,what to do if you have the flu,flu shots,symptoms of flu,treat the flu,over the counter flu medicine,flu report,incubation period for the flu,influenza a and b,having the flu,normal body temperature,flu germs,flu lasts,thermoscan,flu treatment,is flu contagious,flu care,flu children,swine flu,flu shot side effects,cold vs flu,flu how long,flu recovery,flu versus cold,exposed to flu,flu remedies,influenza type a,flu medicine,fever,flu duration,the flu symptoms,flu shot,flu or cold,flu vaccine,cold vs. flu,flu in children,do i have the flu,i have the flu,influenza incubation period,flu season,oscillococcinum,what is the flu,low body,remedies for the flu,target
2010-40,0.26299,15.0,6.0,6.0,44.0,6.0,0.0,0.0,0.0,35.0,2.0,46.0,4.0,5.0,0.0,5.0,3.0,24.0,0.0,1.0,0.0,0.0,0.0,7.0,15.0,0.0,4.0,7.0,2.0,15.0,6.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,4.0,22.0,17.0,0.0,4.0,8.0,0.0,0.0,7.0,7.0,0.0,24.0,1.0,1.0,19.0,0.0,0.0,0.0,11.0,62.0,0.0,10.0,5.0,11.0,11.0,0.0,3.0,13.0,11.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,55.0,0.0,2.0,29.0,1.0,37.0,0.0,5.0,2.0,5.0,0.0,8.0,11.0,9.0,26.0,0.0,0.369729
2010-41,0.369729,15.0,6.0,6.0,44.0,6.0,0.0,0.0,0.0,35.0,2.0,46.0,4.0,5.0,0.0,5.0,3.0,24.0,0.0,1.0,0.0,0.0,0.0,7.0,15.0,0.0,4.0,7.0,2.0,15.0,6.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,4.0,22.0,17.0,0.0,4.0,8.0,0.0,0.0,7.0,7.0,0.0,24.0,1.0,1.0,19.0,0.0,0.0,0.0,11.0,62.0,0.0,10.0,5.0,11.0,11.0,0.0,3.0,13.0,11.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,55.0,0.0,2.0,29.0,1.0,37.0,0.0,5.0,2.0,5.0,0.0,8.0,11.0,9.0,26.0,0.0,0.362121
2010-42,0.362121,15.0,6.0,6.0,44.0,6.0,0.0,0.0,0.0,35.0,2.0,46.0,4.0,5.0,0.0,5.0,3.0,24.0,0.0,1.0,0.0,0.0,0.0,7.0,15.0,0.0,4.0,7.0,2.0,15.0,6.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,4.0,22.0,17.0,0.0,4.0,8.0,0.0,0.0,7.0,7.0,0.0,24.0,1.0,1.0,19.0,0.0,0.0,0.0,11.0,62.0,0.0,10.0,5.0,11.0,11.0,0.0,3.0,13.0,11.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,55.0,0.0,2.0,29.0,1.0,37.0,0.0,5.0,2.0,5.0,0.0,8.0,11.0,9.0,26.0,0.0,0.358981
2010-43,0.358981,15.0,6.0,6.0,44.0,6.0,0.0,0.0,0.0,35.0,2.0,46.0,4.0,5.0,0.0,5.0,3.0,24.0,0.0,1.0,0.0,0.0,0.0,7.0,15.0,0.0,4.0,7.0,2.0,15.0,6.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,4.0,22.0,17.0,0.0,4.0,8.0,0.0,0.0,7.0,7.0,0.0,24.0,1.0,1.0,19.0,0.0,0.0,0.0,11.0,62.0,0.0,10.0,5.0,11.0,11.0,0.0,3.0,13.0,11.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,55.0,0.0,2.0,29.0,1.0,37.0,0.0,5.0,2.0,5.0,0.0,8.0,11.0,9.0,26.0,0.0,0.527357
2010-44,0.527357,15.0,6.0,6.0,44.0,6.0,0.0,0.0,0.0,35.0,2.0,46.0,4.0,5.0,0.0,5.0,3.0,24.0,0.0,1.0,0.0,0.0,0.0,7.0,15.0,0.0,4.0,7.0,2.0,15.0,6.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,4.0,22.0,17.0,0.0,4.0,8.0,0.0,0.0,7.0,7.0,0.0,24.0,1.0,1.0,19.0,0.0,0.0,0.0,11.0,62.0,0.0,10.0,5.0,11.0,11.0,0.0,3.0,13.0,11.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,55.0,0.0,2.0,29.0,1.0,37.0,0.0,5.0,2.0,5.0,0.0,8.0,11.0,9.0,26.0,0.0,0.5047560000000001
2010-45,0.5047560000000001,11.0,6.0,6.0,50.0,22.0,0.0,7.0,0.0,42.0,2.0,53.0,5.0,5.0,2.0,7.0,3.0,27.0,0.0,2.0,1.0,0.0,11.0,7.0,0.0,7.0,3.0,14.0,0.0,22.0,0.0,0.0,0.0,6.0,11.0,0.0,17.0,29.0,11.0,0.0,0.0,0.0,4.0,6.0,8.0,30.0,30.0,0.0,0.0,9.0,7.0,0.0,3.0,7.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,10.0,11.0,16.0,16.0,5.0,3.0,17.0,4.0,3.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,50.0,0.0,3.0,11.0,1.0,14.0,0.0,4.0,2.0,5.0,0.0,5.0,3.0,9.0,30.0,0.0,0.503441
2010-46,0.503441,11.0,6.0,6.0,50.0,22.0,0.0,7.0,0.0,42.0,2.0,53.0,5.0,5.0,2.0,7.0,3.0,27.0,0.0,2.0,1.0,0.0,11.0,7.0,0.0,7.0,3.0,14.0,0.0,22.0,0.0,0.0,0.0,6.0,11.0,0.0,17.0,29.0,11.0,0.0,0.0,0.0,4.0,6.0,8.0,30.0,30.0,0.0,0.0,9.0,7.0,0.0,3.0,7.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,10.0,11.0,16.0,16.0,5.0,3.0,17.0,4.0,3.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,50.0,0.0,3.0,11.0,1.0,14.0,0.0,4.0,2.0,5.0,0.0,5.0,3.0,9.0,30.0,0.0,0.54919
2010-47,0.54919,11.0,6.0,6.0,50.0,22.0,0.0,7.0,0.0,42.0,2.0,53.0,5.0,5.0,2.0,7.0,3.0,27.0,0.0,2.0,1.0,0.0,11.0,7.0,0.0,7.0,3.0,14.0,0.0,22.0,0.0,0.0,0.0,6.0,11.0,0.0,17.0,29.0,11.0,0.0,0.0,0.0,4.0,6.0,8.0,30.0,30.0,0.0,0.0,9.0,7.0,0.0,3.0,7.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,10.0,11.0,16.0,16.0,5.0,3.0,17.0,4.0,3.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,50.0,0.0,3.0,11.0,1.0,14.0,0.0,4.0,2.0,5.0,0.0,5.0,3.0,9.0,30.0,0.0,1.62591
2010-48,1.62591,11.0,6.0,6.0,50.0,22.0,0.0,7.0,0.0,42.0,2.0,53.0,5.0,5.0,2.0,7.0,3.0,27.0,0.0,2.0,1.0,0.0,11.0,7.0,0.0,7.0,3.0,14.0,0.0,22.0,0.0,0.0,0.0,6.0,11.0,0.0,17.0,29.0,11.0,0.0,0.0,0.0,4.0,6.0,8.0,30.0,30.0,0.0,0.0,9.0,7.0,0.0,3.0,7.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,10.0,11.0,16.0,16.0,5.0,3.0,17.0,4.0,3.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,50.0,0.0,3.0,11.0,1.0,14.0,0.0,4.0,2.0,5.0,0.0,5.0,3.0,9.0,30.0,0.0,2.1629
2010-49,2.1629,16.0,3.0,7.0,69.0,10.0,8.0,4.0,8.0,50.0,1.0,54.0,4.0,7.0,5.0,12.0,2.0,34.0,0.0,0.0,0.0,1.0,8.0,4.0,4.0,4.0,7.0,8.0,2.0,15.0,3.0,7.0,10.0,10.0,0.0,6.0,16.0,35.0,17.0,0.0,0.0,0.0,5.0,2.0,5.0,35.0,43.0,0.0,12.0,28.0,0.0,0.0,0.0,20.0,2.0,3.0,17.0,0.0,10.0,20.0,0.0,31.0,14.0,63.0,11.0,6.0,0.0,18.0,3.0,6.0,3.0,13.0,2.0,2.0,13.0,1.0,0.0,1.0,1.0,0.0,1.0,72.0,1.0,4.0,5.0,1.0,10.0,0.0,2.0,2.0,4.0,0.0,9.0,11.0,14.0,56.0,0.0,2.68099
