date,oregon_flu,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza,influenza a and b,cure the flu,flu season,flu shots,dangerous fever,break a fever,how long is the flu contagious,medicine for the flu,treating flu,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,flu 2019,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,human temperature,high fever,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,flu in oregon,reduce fever,cdc,type a influenza,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,symptoms,signs of flu,over the counter flu medicine,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,flu oregon,early flu symptoms,how long is flu contagious,treatment for flu,taking temperature,exposed to flu,flu contagious,bronchitis,get over the flu,portland flu,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,flu complications,signs of the flu,treat flu,how to get rid of the flu,target
2010-40,0.551334,19.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,8.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,22.0,0.0,0.0,43.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,52.0,0.0,0.0,0.0,49.0,0.0,0.0,12.0,24.0,0.0,23.0,0.0,0.0,12.0,0.0,78.0,0.0,0.0,46.0,0.0,46.0,0.0,6.0,12.0,0.0,12.0,24.0,0.0,0.0,24.0,62.0,0.0,21.0,7.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6240760000000001
2010-41,0.6240760000000001,19.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,8.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,22.0,0.0,0.0,43.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,52.0,0.0,0.0,0.0,49.0,0.0,0.0,12.0,24.0,0.0,23.0,0.0,0.0,12.0,0.0,78.0,0.0,0.0,46.0,0.0,46.0,0.0,6.0,12.0,0.0,12.0,24.0,0.0,0.0,24.0,62.0,0.0,21.0,7.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48484799999999995
2010-42,0.48484799999999995,19.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,8.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,22.0,0.0,0.0,43.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,52.0,0.0,0.0,0.0,49.0,0.0,0.0,12.0,24.0,0.0,23.0,0.0,0.0,12.0,0.0,78.0,0.0,0.0,46.0,0.0,46.0,0.0,6.0,12.0,0.0,12.0,24.0,0.0,0.0,24.0,62.0,0.0,21.0,7.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.751771
2010-43,0.751771,19.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,8.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,22.0,0.0,0.0,43.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,52.0,0.0,0.0,0.0,49.0,0.0,0.0,12.0,24.0,0.0,23.0,0.0,0.0,12.0,0.0,78.0,0.0,0.0,46.0,0.0,46.0,0.0,6.0,12.0,0.0,12.0,24.0,0.0,0.0,24.0,62.0,0.0,21.0,7.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764895
2010-44,0.764895,19.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,8.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,22.0,0.0,0.0,43.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,52.0,0.0,0.0,0.0,49.0,0.0,0.0,12.0,24.0,0.0,23.0,0.0,0.0,12.0,0.0,78.0,0.0,0.0,46.0,0.0,46.0,0.0,6.0,12.0,0.0,12.0,24.0,0.0,0.0,24.0,62.0,0.0,21.0,7.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.775305
2010-45,0.775305,14.0,0.0,0.0,19.0,0.0,5.0,5.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,42.0,0.0,47.0,0.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,4.0,34.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,69.0,12.0,12.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,14.0,7.0,54.0,53.0,0.0,54.0,0.0,0.0,0.0,0.0,0.657895
2010-46,0.657895,14.0,0.0,0.0,19.0,0.0,5.0,5.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,42.0,0.0,47.0,0.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,4.0,34.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,69.0,12.0,12.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,14.0,7.0,54.0,53.0,0.0,54.0,0.0,0.0,0.0,0.0,1.0638299999999998
2010-47,1.0638299999999998,14.0,0.0,0.0,19.0,0.0,5.0,5.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,42.0,0.0,47.0,0.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,4.0,34.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,69.0,12.0,12.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,14.0,7.0,54.0,53.0,0.0,54.0,0.0,0.0,0.0,0.0,0.718276
2010-48,0.718276,14.0,0.0,0.0,19.0,0.0,5.0,5.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,42.0,0.0,47.0,0.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,4.0,34.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,69.0,12.0,12.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,14.0,7.0,54.0,53.0,0.0,54.0,0.0,0.0,0.0,0.0,0.980101
2010-49,0.980101,8.0,0.0,10.0,20.0,10.0,0.0,14.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0,5.0,13.0,40.0,0.0,13.0,0.0,2.0,0.0,2.0,24.0,0.0,0.0,24.0,16.0,16.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,2.0,56.0,0.0,0.0,27.0,54.0,0.0,7.0,7.0,37.0,7.0,0.0,6.0,0.0,13.0,0.0,75.0,0.0,0.0,25.0,0.0,25.0,0.0,3.0,7.0,0.0,0.0,13.0,13.0,0.0,20.0,34.0,0.0,4.0,4.0,0.0,29.0,29.0,29.0,0.0,0.0,49.0,0.0,1.3949799999999999
