date,tennessee_flu,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,flu like symptoms,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu type a,flu care,flu headache,flu vs. cold,high fever,medicine for flu,flu treatments,cold vs flu,fight the flu,flu a symptoms,influenza symptoms,the flu virus,reduce fever,cdc,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,flu virus,how long does the flu last,stomach flu,how long does flu last,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,symptoms,flu test,over the counter flu medicine,the flu symptoms,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,tamiflu,cdc flu,taking temperature,exposed to flu,flu contagious,bronchitis,get over the flu,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature,target
2010-40,0.27465500000000004,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,51.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,36.0,18.0,2.0,58.0,0.0,0.0,16.0,0.0,16.0,0.0,13.0,0.0,22.0,9.0,0.0,0.0,0.0,80.0,0.0,0.0,31.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,30.0,0.0,5.0,5.0,22.0,44.0,22.0,0.0,0.0,0.0,28.0,0.499492
2010-41,0.499492,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,51.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,36.0,18.0,2.0,58.0,0.0,0.0,16.0,0.0,16.0,0.0,13.0,0.0,22.0,9.0,0.0,0.0,0.0,80.0,0.0,0.0,31.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,30.0,0.0,5.0,5.0,22.0,44.0,22.0,0.0,0.0,0.0,28.0,0.49955
2010-42,0.49955,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,51.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,36.0,18.0,2.0,58.0,0.0,0.0,16.0,0.0,16.0,0.0,13.0,0.0,22.0,9.0,0.0,0.0,0.0,80.0,0.0,0.0,31.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,30.0,0.0,5.0,5.0,22.0,44.0,22.0,0.0,0.0,0.0,28.0,0.401638
2010-43,0.401638,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,51.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,36.0,18.0,2.0,58.0,0.0,0.0,16.0,0.0,16.0,0.0,13.0,0.0,22.0,9.0,0.0,0.0,0.0,80.0,0.0,0.0,31.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,30.0,0.0,5.0,5.0,22.0,44.0,22.0,0.0,0.0,0.0,28.0,0.528096
2010-44,0.528096,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,51.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,36.0,18.0,2.0,58.0,0.0,0.0,16.0,0.0,16.0,0.0,13.0,0.0,22.0,9.0,0.0,0.0,0.0,80.0,0.0,0.0,31.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,30.0,0.0,5.0,5.0,22.0,44.0,22.0,0.0,0.0,0.0,28.0,0.593704
2010-45,0.593704,12.0,44.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,38.0,0.0,0.0,0.0,3.0,5.0,56.0,0.0,1.0,0.0,0.0,8.0,5.0,0.0,0.0,5.0,22.0,22.0,0.0,22.0,0.0,10.0,31.0,10.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,73.0,24.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,41.0,0.0,0.0,0.0,0.0,16.0,0.0,9.0,0.0,13.0,0.0,1.0,0.0,0.0,72.0,9.0,0.0,14.0,37.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,0.0,11.0,23.0,51.0,0.0,5.0,5.0,22.0,34.0,22.0,22.0,0.0,0.0,86.0,0.6765260000000001
2010-46,0.6765260000000001,12.0,44.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,38.0,0.0,0.0,0.0,3.0,5.0,56.0,0.0,1.0,0.0,0.0,8.0,5.0,0.0,0.0,5.0,22.0,22.0,0.0,22.0,0.0,10.0,31.0,10.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,73.0,24.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,41.0,0.0,0.0,0.0,0.0,16.0,0.0,9.0,0.0,13.0,0.0,1.0,0.0,0.0,72.0,9.0,0.0,14.0,37.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,0.0,11.0,23.0,51.0,0.0,5.0,5.0,22.0,34.0,22.0,22.0,0.0,0.0,86.0,0.8218489999999999
2010-47,0.8218489999999999,12.0,44.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,38.0,0.0,0.0,0.0,3.0,5.0,56.0,0.0,1.0,0.0,0.0,8.0,5.0,0.0,0.0,5.0,22.0,22.0,0.0,22.0,0.0,10.0,31.0,10.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,73.0,24.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,41.0,0.0,0.0,0.0,0.0,16.0,0.0,9.0,0.0,13.0,0.0,1.0,0.0,0.0,72.0,9.0,0.0,14.0,37.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,0.0,11.0,23.0,51.0,0.0,5.0,5.0,22.0,34.0,22.0,22.0,0.0,0.0,86.0,0.8057770000000001
2010-48,0.8057770000000001,12.0,44.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,38.0,0.0,0.0,0.0,3.0,5.0,56.0,0.0,1.0,0.0,0.0,8.0,5.0,0.0,0.0,5.0,22.0,22.0,0.0,22.0,0.0,10.0,31.0,10.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,73.0,24.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,41.0,0.0,0.0,0.0,0.0,16.0,0.0,9.0,0.0,13.0,0.0,1.0,0.0,0.0,72.0,9.0,0.0,14.0,37.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,0.0,11.0,23.0,51.0,0.0,5.0,5.0,22.0,34.0,22.0,22.0,0.0,0.0,86.0,1.1057700000000001
2010-49,1.1057700000000001,5.0,23.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,8.0,1.0,0.0,0.0,7.0,0.0,0.0,13.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,11.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,44.0,0.0,0.0,26.0,0.0,9.0,47.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,71.0,5.0,0.0,15.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,9.0,6.0,0.0,0.0,33.0,0.0,3.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,23.0,1.37845
