date,virginia_flu,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,reduce a fever,how long contagious,i have the flu,low body,flu treatment,is the flu contagious,do i have the flu,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu and fever,flu headache,flu vs. cold,human temperature,high fever,flu treatments,cold vs flu,influenza type a,fight the flu,influenza symptoms,the flu virus,how to treat flu,reduce fever,type a influenza,influenza incubation period,thermoscan,normal body temperature,flu virus,how long does the flu last,fever flu,stomach flu,swine flu,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,symptoms,fever,over the counter flu medicine,the flu symptoms,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,treatment for flu,cdc flu,exposed to flu,flu contagious,flu length,bronchitis,stomach flu symptoms,symptoms of bronchitis,what is the flu,oscillococcinum,virginia flu,what is flu,flu medicine,flu remedies,signs of the flu,treat flu,how to get rid of the flu,body temperature,target
2010-40,1.14343,10.0,0.0,0.0,12.0,0.0,1.0,1.0,1.0,1.0,11.0,5.0,0.0,0.0,0.0,30.0,3.0,1.0,0.0,0.0,6.0,6.0,0.0,5.0,1.0,5.0,18.0,3.0,0.0,5.0,1.0,10.0,3.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,3.0,3.0,0.0,8.0,25.0,3.0,5.0,3.0,3.0,15.0,5.0,5.0,10.0,6.0,0.0,11.0,34.0,3.0,2.0,5.0,22.0,4.0,6.0,1.0,0.0,0.0,0.0,49.0,10.0,0.0,7.0,13.0,0.0,3.0,0.0,0.0,7.0,2.0,8.0,4.0,10.0,0.0,2.0,0.0,22.0,8.0,3.0,6.0,3.0,4.0,6.0,2.0,1.0,2.0,0.0,2.0,34.0,1.23653
2010-41,1.23653,10.0,0.0,0.0,12.0,0.0,1.0,1.0,1.0,1.0,11.0,5.0,0.0,0.0,0.0,30.0,3.0,1.0,0.0,0.0,6.0,6.0,0.0,5.0,1.0,5.0,18.0,3.0,0.0,5.0,1.0,10.0,3.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,3.0,3.0,0.0,8.0,25.0,3.0,5.0,3.0,3.0,15.0,5.0,5.0,10.0,6.0,0.0,11.0,34.0,3.0,2.0,5.0,22.0,4.0,6.0,1.0,0.0,0.0,0.0,49.0,10.0,0.0,7.0,13.0,0.0,3.0,0.0,0.0,7.0,2.0,8.0,4.0,10.0,0.0,2.0,0.0,22.0,8.0,3.0,6.0,3.0,4.0,6.0,2.0,1.0,2.0,0.0,2.0,34.0,1.22545
2010-42,1.22545,10.0,0.0,0.0,12.0,0.0,1.0,1.0,1.0,1.0,11.0,5.0,0.0,0.0,0.0,30.0,3.0,1.0,0.0,0.0,6.0,6.0,0.0,5.0,1.0,5.0,18.0,3.0,0.0,5.0,1.0,10.0,3.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,3.0,3.0,0.0,8.0,25.0,3.0,5.0,3.0,3.0,15.0,5.0,5.0,10.0,6.0,0.0,11.0,34.0,3.0,2.0,5.0,22.0,4.0,6.0,1.0,0.0,0.0,0.0,49.0,10.0,0.0,7.0,13.0,0.0,3.0,0.0,0.0,7.0,2.0,8.0,4.0,10.0,0.0,2.0,0.0,22.0,8.0,3.0,6.0,3.0,4.0,6.0,2.0,1.0,2.0,0.0,2.0,34.0,1.26902
2010-43,1.26902,10.0,0.0,0.0,12.0,0.0,1.0,1.0,1.0,1.0,11.0,5.0,0.0,0.0,0.0,30.0,3.0,1.0,0.0,0.0,6.0,6.0,0.0,5.0,1.0,5.0,18.0,3.0,0.0,5.0,1.0,10.0,3.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,3.0,3.0,0.0,8.0,25.0,3.0,5.0,3.0,3.0,15.0,5.0,5.0,10.0,6.0,0.0,11.0,34.0,3.0,2.0,5.0,22.0,4.0,6.0,1.0,0.0,0.0,0.0,49.0,10.0,0.0,7.0,13.0,0.0,3.0,0.0,0.0,7.0,2.0,8.0,4.0,10.0,0.0,2.0,0.0,22.0,8.0,3.0,6.0,3.0,4.0,6.0,2.0,1.0,2.0,0.0,2.0,34.0,1.26547
2010-44,1.26547,10.0,0.0,0.0,12.0,0.0,1.0,1.0,1.0,1.0,11.0,5.0,0.0,0.0,0.0,30.0,3.0,1.0,0.0,0.0,6.0,6.0,0.0,5.0,1.0,5.0,18.0,3.0,0.0,5.0,1.0,10.0,3.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,3.0,3.0,0.0,8.0,25.0,3.0,5.0,3.0,3.0,15.0,5.0,5.0,10.0,6.0,0.0,11.0,34.0,3.0,2.0,5.0,22.0,4.0,6.0,1.0,0.0,0.0,0.0,49.0,10.0,0.0,7.0,13.0,0.0,3.0,0.0,0.0,7.0,2.0,8.0,4.0,10.0,0.0,2.0,0.0,22.0,8.0,3.0,6.0,3.0,4.0,6.0,2.0,1.0,2.0,0.0,2.0,34.0,1.41165
2010-45,1.41165,9.0,0.0,12.0,0.0,0.0,0.0,1.0,3.0,3.0,16.0,13.0,0.0,0.0,0.0,27.0,4.0,1.0,0.0,1.0,7.0,7.0,0.0,5.0,0.0,6.0,25.0,0.0,3.0,5.0,1.0,7.0,2.0,9.0,1.0,0.0,1.0,7.0,0.0,0.0,9.0,6.0,3.0,0.0,12.0,37.0,0.0,7.0,3.0,3.0,8.0,5.0,0.0,13.0,6.0,0.0,6.0,36.0,5.0,2.0,8.0,28.0,3.0,2.0,1.0,0.0,0.0,0.0,48.0,10.0,1.0,7.0,17.0,2.0,1.0,0.0,0.0,9.0,2.0,12.0,3.0,3.0,0.0,2.0,0.0,29.0,5.0,5.0,6.0,3.0,1.0,6.0,4.0,4.0,2.0,3.0,3.0,38.0,1.5324200000000001
2010-46,1.5324200000000001,9.0,0.0,12.0,0.0,0.0,0.0,1.0,3.0,3.0,16.0,13.0,0.0,0.0,0.0,27.0,4.0,1.0,0.0,1.0,7.0,7.0,0.0,5.0,0.0,6.0,25.0,0.0,3.0,5.0,1.0,7.0,2.0,9.0,1.0,0.0,1.0,7.0,0.0,0.0,9.0,6.0,3.0,0.0,12.0,37.0,0.0,7.0,3.0,3.0,8.0,5.0,0.0,13.0,6.0,0.0,6.0,36.0,5.0,2.0,8.0,28.0,3.0,2.0,1.0,0.0,0.0,0.0,48.0,10.0,1.0,7.0,17.0,2.0,1.0,0.0,0.0,9.0,2.0,12.0,3.0,3.0,0.0,2.0,0.0,29.0,5.0,5.0,6.0,3.0,1.0,6.0,4.0,4.0,2.0,3.0,3.0,38.0,1.62726
2010-47,1.62726,9.0,0.0,12.0,0.0,0.0,0.0,1.0,3.0,3.0,16.0,13.0,0.0,0.0,0.0,27.0,4.0,1.0,0.0,1.0,7.0,7.0,0.0,5.0,0.0,6.0,25.0,0.0,3.0,5.0,1.0,7.0,2.0,9.0,1.0,0.0,1.0,7.0,0.0,0.0,9.0,6.0,3.0,0.0,12.0,37.0,0.0,7.0,3.0,3.0,8.0,5.0,0.0,13.0,6.0,0.0,6.0,36.0,5.0,2.0,8.0,28.0,3.0,2.0,1.0,0.0,0.0,0.0,48.0,10.0,1.0,7.0,17.0,2.0,1.0,0.0,0.0,9.0,2.0,12.0,3.0,3.0,0.0,2.0,0.0,29.0,5.0,5.0,6.0,3.0,1.0,6.0,4.0,4.0,2.0,3.0,3.0,38.0,1.57146
2010-48,1.57146,9.0,0.0,12.0,0.0,0.0,0.0,1.0,3.0,3.0,16.0,13.0,0.0,0.0,0.0,27.0,4.0,1.0,0.0,1.0,7.0,7.0,0.0,5.0,0.0,6.0,25.0,0.0,3.0,5.0,1.0,7.0,2.0,9.0,1.0,0.0,1.0,7.0,0.0,0.0,9.0,6.0,3.0,0.0,12.0,37.0,0.0,7.0,3.0,3.0,8.0,5.0,0.0,13.0,6.0,0.0,6.0,36.0,5.0,2.0,8.0,28.0,3.0,2.0,1.0,0.0,0.0,0.0,48.0,10.0,1.0,7.0,17.0,2.0,1.0,0.0,0.0,9.0,2.0,12.0,3.0,3.0,0.0,2.0,0.0,29.0,5.0,5.0,6.0,3.0,1.0,6.0,4.0,4.0,2.0,3.0,3.0,38.0,1.69937
2010-49,1.69937,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,33.0,16.0,0.0,16.0,0.0,39.0,14.0,0.0,0.0,0.0,14.0,6.0,0.0,17.0,2.0,5.0,12.0,0.0,0.0,8.0,4.0,10.0,4.0,26.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,66.0,0.0,8.0,0.0,17.0,0.0,0.0,16.0,24.0,0.0,0.0,0.0,35.0,7.0,25.0,3.0,18.0,4.0,1.0,1.0,0.0,0.0,0.0,94.0,16.0,0.0,6.0,19.0,0.0,3.0,0.0,7.0,3.0,5.0,5.0,5.0,5.0,0.0,2.0,0.0,43.0,10.0,15.0,20.0,5.0,9.0,17.0,0.0,0.0,5.0,5.0,0.0,60.0,1.75344
